,,,,
9499,CONTRATO_SOCIAL,4764,10108,ESTATUTO SOCIAL 2008- ARQUIVO ÃNICO.pdf
,,,,
9539,ART_PROJETISTA,3781,7995,combinepdf (90).pdf
9539,ART_PROJETISTA,3780,7996,combinepdf (90).pdf
,,,,
9629,OUTRO,4391,9357,combinepdf 3.pdf
,,,,
9752,MEMORIAL_DESCRITIVO,8057,17640,REQUERIMENTO DE OUTORGA-ALAGOA GRANDE-ASSENTAMENTO SAPÃ DE ALAGOA GRANDE.pdf
,,,,
9903,CONTRATO_SOCIAL,6158,13591,CNPJ_INTRAFRUT.pdf
,,,,
9904,CONTRATO_SOCIAL,6173,13607,CertidÃÂ£o Simplificada Intrafrut.pdf
,,,,
9908,CONTRATO_SOCIAL,6211,13652,ESTATUTO SOCIAL 2008- ARQUIVO ÃNICO.pdf
,,,,
14739,CNPJ,35656,81505,CNPJ%252BConvencao.pdf
14739,OUTRO,35660,81509,outorga%2B2019.pdf
14739,COPIA_ESCRITURA,35661,81510,CONVEN%25C3%2583%25C2%2587%25C3%2583%25C2%2583O%2BNOVO%2BCODIGO%2B.pdf
14739,PROJETO_TECNICO,36303,83277,Projeto%2Bde%2BOutorga%2Be%2Bobra%2Bh%25C3%2583%25C2%25ADdrica%2B-%2Bv.02.pdf
14739,MAPA_EMPREENDIMENTO,36304,83278,Outorga%2Be%2BLOH%2B2017.pdf
14739,COPIA_ESCRITURA,36305,83279,CONVEN%25C3%2583%25C2%2587%25C3%2583%25C2%2583O%2BNOVO%2BCODIGO%2B.pdf
14739,CNPJ,36306,83280,CNPJ.pdf
14739,OUTRO,36307,83281,Req.%2Bassinado_%2BDoc_%2BATA%2Be%2Bconta%2Bda%2BCAGEPA.pdf
14739,ANALISE_QUIMICA,36308,83282,LAUDO%2BANALISE%2BAGUA%2BJUN%2B2018.pdf
14739,PROJETO_TECNICO,36473,83666,Projeto%2Bde%2BOutorga%2Be%2Bobra%2Bh%25C3%2583%25C2%25ADdrica%2B-%2Bv.02.pdf
14739,MAPA_EMPREENDIMENTO,36474,83667,Outorga%2Be%2BLOH%2B2017.pdf
14739,COPIA_ESCRITURA,36475,83668,CONVEN%25C3%2583%25C2%2587%25C3%2583%25C2%2583O%2BNOVO%2BCODIGO%2B.pdf
14739,CNPJ,36476,83669,CNPJ.pdf
14739,OUTRO,36477,83670,Req.%2Bassinado_%2BDoc_%2BATA%2Be%2Bconta%2Bda%2BCAGEPA.pdf
14739,ANALISE_QUIMICA,36478,83671,LAUDO%2BANALISE%2BAGUA%2BJUN%2B2018.pdf
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
14769,CNPJ,35843,81894,CNPJ%2B%252B%2BAGE.pdf
14769,MEMORIAL_DESCRITIVO,35845,81896,Projeto%2Bdo%2BPo%25C3%2583%25C2%25A7o.pdf
,,,,
,,,,
14771,CNPJ,35850,81901,CNPJ%2B%252B%2BAGE.pdf
14771,MEMORIAL_DESCRITIVO,35852,81903,Projeto%2Bdo%2BPo%25C3%2583%25C2%25A7o.pdf
,,,,
,,,,
14819,CNPJ,36217,82979,CNPJ.pdf
14819,COPIA_ESCRITURA,36218,82980,Conve%25C3%2583%25C2%25A7%25C3%2583%25C2%25A3o%2BJo%25C3%2583%25C2%25A3o%2BFaustino%2BMonteiro.pdf
,,,,
,,,,
14823,COPIA_ESCRITURA,36182,82821,Escritura_im%25C3%2583%25C2%25B3vel_HJPII.pdf
14823,MEMORIAL_DESCRITIVO,36336,83336,MEMORIAL.pdf
,,,,
,,,,
14846,PROJETO_TECNICO,36420,83547,REQUERIMENTO%2BE%2BOUTORGA%2BANTERIOR.pdf
14846,MAPA_EMPREENDIMENTO,36421,83548,PLANTA%2BDE%2BSITUA%25C3%2583%25C2%2587%25C3%2583%25C2%2583O%2BE%2BCROQUI%2BDE%2BLOCALIZA%25C3%2583%25C2%2587%25C3%2583%25C2%2583O.pdf
14846,TRES_ULTIMAS_FATURAS,36428,83555,Declara%25C3%2583%25C2%25A7%25C3%2583%25C2%25A3o%2BCAGEPA-%2BIncubat%25C3%2583%25C2%25B3rio.pdf
,,,,
,,,,
,,,,
14847,CNPJ,36453,83645,CNPJ%2B%25283%2529.pdf
14847,COPIA_ESCRITURA,36454,83646,CONVEN%25C3%2583%25C2%2587%25C3%2583%25C2%2583O_REGIMENTO%2BINTERNO%2BALTAVISTA.pdf
14847,PROJETO_TECNICO_DEZ_HA,36455,83647,PO%25C3%2583%25C2%2587O%2B-%2B02%2Bassinado%2B02.pdf
14847,REQUERIMENTO_PREENCHIDO,36456,83648,REQ.%2BDE%2BOUTORGA%2B-%2B10820.pdf
14847,OUTRO,36457,83649,combinepdf%25281%2529.pdf
,,,,
,,,,
,,,,
,,,,
,,,,
14848,CNPJ,36462,83654,CNPJ%2B%25283%2529.pdf
14848,COPIA_ESCRITURA,36463,83655,CONVEN%25C3%2583%25C2%2587%25C3%2583%25C2%2583O_REGIMENTO%2BINTERNO%2BALTAVISTA.pdf
14848,PROJETO_TECNICO_DEZ_HA,36464,83656,PO%25C3%2583%25C2%2587O%2B-%2B01%2Bassinado%2B01.pdf
14848,REQUERIMENTO_PREENCHIDO,36465,83657,REQ.%2BDE%2BOUTORGA%2B-%2B10818.pdf
14848,OUTRO,36466,83658,combinepdf.pdf
,,,,
,,,,
,,,,
,,,,
,,,,
14854,PROJETO_TECNICO,36544,83808,PROJETO%2B-%2BDINART.pdf
14854,COPIA_ESCRITURA,36545,83809,ESCRITURA%2B-%2BDINART.pdf
14854,CPF,36546,83810,DOCUMENTO%2B-%2BDINART.pdf
14854,RG,36547,83811,DOCUMENTO%2B-%2BDINART.pdf
14854,ART_PROJETISTA,36548,83812,ART%2B-%2BDINART.pdf
14854,MAPA_EMPREENDIMENTO,36549,83813,MAPA%2BDE%2BLOCALIZA%25C3%2583%25C2%2587%25C3%2583%25C2%2583O%2B-%2BDINART.pdf
14854,OUTRO,36550,83814,REQUERIMENTO%2B-%2BDINART.pdf
14854,PROJETO_TECNICO,36551,83816,PROJETO%2B-%2BDINART.pdf
14854,COPIA_ESCRITURA,36552,83817,ESCRITURA%2B-%2BDINART.pdf
14854,CPF,36553,83818,DOCUMENTO%2B-%2BDINART.pdf
14854,RG,36554,83819,DOCUMENTO%2B-%2BDINART.pdf
14854,ART_PROJETISTA,36555,83820,ART%2B-%2BDINART.pdf
14854,MAPA_EMPREENDIMENTO,36556,83821,MAPA%2BDE%2BLOCALIZA%25C3%2583%25C2%2587%25C3%2583%25C2%2583O%2B-%2BDINART.pdf
14854,OUTRO,36557,83822,REQUERIMENTO%2B-%2BDINART.pdf
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
14857,PROJETO_TECNICO,36572,83847,Projeto%2Bde%2BLeonardo.pdf
14857,MAPA_EMPREENDIMENTO,36573,83848,mapa%2Bde%2Bleonardo.pdf
14857,CPF,36575,83850,procura%25C3%2583%25C2%25A7%25C3%2583%25C2%25A3o%2Be%2Bdocumentos%2Bpessoais.pdf
14857,RG,36576,83851,procura%25C3%2583%25C2%25A7%25C3%2583%25C2%25A3o%2Be%2Bdocumentos%2Bpessoais.pdf
14857,ART_PROJETISTA,36577,83852,ART%2BDE%2BLeonardo.pdf
14857,COPIA_ESCRITURA,36580,83855,Contrao%2B%252B%2BEscritura%2BLeonardo.pdf
14857,OUTRO,36583,83859,ART%2BLeonardo.pdf
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
14858,PROJETO_TECNICO,36591,83876,PROJETO%2BCERTO.pdf
14858,MAPA_EMPREENDIMENTO,36592,83877,Mapa%2B-%2BOutorga.pdf
14858,CPF,36594,83879,page-7%2BRG.pdf
14858,RG,36595,83880,page-7%2BRG.pdf
14858,ART_PROJETISTA,36596,83881,page-6%2BART.pdf
